latitude,longitude,rainfall_1h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_7d_mm,temperature_c,humidity_percent,elevation_m,slope_degree,aspect_degree,historical_landslide_count,landslide_occurred
11.493889,75.868056,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.4926,75.8665,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.5025,75.842222,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.516111,75.843889,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.513611,75.846667,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.509444,75.858889,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.4978,75.8647,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.505833,75.867778,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.507778,75.878333,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.5076,75.8817,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.518705,75.877626,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.520556,75.8725,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.525278,75.878333,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.527778,75.878333,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.529722,75.876111,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.520556,75.859167,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.525,75.821667,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.514444,75.816389,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.556389,75.813611,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.558333,75.795,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.604167,75.857222,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.638333,75.873056,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.636389,75.870833,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.639167,75.864444,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.642778,75.856389,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.638056,75.850833,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.640556,75.855556,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.638611,75.856944,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.633333,75.856667,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.6275,75.817222,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.628889,75.831944,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.598889,75.823889,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.600278,75.819722,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.613889,75.813611,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.670833,75.811111,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.696944,75.8075,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.6925,75.806389,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.681944,75.808056,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.678611,75.821111,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.666667,75.833611,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.648611,75.827778,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.6475,75.846389,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.647222,75.847778,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.655833,75.843889,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.664722,75.843611,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.666886,75.8525,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.666667,75.857778,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.648056,75.857222,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.650833,75.871667,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.650556,75.873056,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.650556,75.873889,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.650278,75.874167,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.65,75.874722,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.670833,75.878056,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.673889,75.841667,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.673056,75.840833,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
11.729444,75.813889,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0,1
